SP_ENTITY_NAME,SP_ENTITY_ID,MI_INDUSTRY_CLASSIFICATION,SP_COMPANY_TYPE,SP_COMPANY_STATUS,SP_COUNTRY_NAME,SP_DEBT_TO_EQUITY,SP_TOTAL_DEBT,SP_TOTAL_ASSETS,SP_MARKETCAP,SP_COMPANY_NAME_ABBR
"Global Net Lease, Inc. (NYSE:GNL)",4307540,Diversified REIT,Public Company,Operating,USA,1.51,"2,449,541","4,182,956","1,130.7",Global Net Lease
Global One Real Estate Investment Corp. (TSE:8958),4260130,Office REIT,Public Company,Operating,Japan,0.99,"94,200","198,819",99.7,Global One Real Estate
"Global Self Storage, Inc. (NASDAQCM:SELF)",4659472,Self-Storage REIT,Public Company,Operating,USA,0.38,"17,928","66,549",55.3,Global Self Storage
Globalworth Real Estate Investments Limited (AIM:GWI),4864411,Office REIT,Public Company,Operating,United Kingdom,0.95,"1,654,246","3,627,483",950.8,Globalworth RE Invts Ltd
GLP J-REIT (TSE:3281),4346045,Industrial REIT,Public Company,Operating,Japan,0.84,"346,520","781,669",653.3,GLP J-REIT
"GMP Property SOCIMI, S.A. (BME:YGMP)",4863380,Diversified REIT,Public Company,Operating,Spain,0.57,"850,343","2,451,817","1,070.7",GMP Property SOCIMI S.A.
Golden Tulip Belo Horizonte Fundo Invest Multimercado Fund,7634544,Hotel REIT,Public Company,Operating,Brazil,NA,NA,NA,NA,Golden Tulip Belo Horizonte Fu
Golden Ventures Leasehold Real Estate Investment Trust (SET:GVREIT),4864516,Office REIT,Public Company,Operating,Thailand,0.31,"2,800,062","12,200,029","7,251.7",Golden Ventures Leasehold REIT
Goodman Group (ASX:GMG),4143500,Industrial REIT,Public Company,Operating,Australia,0.18,"2,902,800","21,432,400","30,852.5",Goodman Group
Goodman Property Trust (NZSE:GMT),4249588,Industrial REIT,Public Company,Operating,New Zealand,0.30,"1,083,100","4,814,300","2,694.2",Goodman Property Trust
Grande Royal Orchid Hospitality Real Estate Investment Trust with Buy-Back Condi (SET:GROREIT),28678836,Hotel REIT,Public Company,Operating,Thailand,NA,NA,NA,"3,024.0",Grande Royal Orchid Hospitalit
Granite Real Estate Investment Trust (TSX:GRT.UN),4325276,Industrial REIT,Public Company,Operating,Canada,0.46,"2,458,002","8,566,697","4,357.0",Granite REIT
Great Portland Estates Plc (LSE:GPE),4143571,Office REIT,Public Company,Operating,United Kingdom,0.28,"589,700","2,757,800","1,177.4",Great Portland Estates Plc
Greenoak Spain Holdings Socimi II S.A. (BME:YGO2),10644820,Diversified REIT,Public Company,Operating,Spain,NA,NA,NA,12.0,Greenoak Spain Hldgs Socimi II
"Griffin Realty Trust, Inc.",4234075,Diversified REIT,Public Company,Operating,USA,1.09,"2,583,273","5,273,017",NA,"Griffin Realty Trust, Inc."
Ground Rents Income Fund PLC (LSE:GRIO),4863171,Diversified REIT,Public Company,Operating,United Kingdom,0.19,"19,111","122,339",47.3,Ground Rents Income Fund PLC
Growthpoint Properties Limited (JSE:GRT),4222576,Diversified REIT,Public Company,Operating,South Africa,0.72,"65,252,000","164,729,000","44,572.2",Growthpoint Properties Ltd.
"Grupo Ortiz Properties SOCIMI, S.A. (BME:YGOP)",6896514,Diversified REIT,Public Company,Operating,Spain,0.63,"73,372","220,872",90.2,Grupo Ortiz Ppts SOCIMI S.A.
"GTJ REIT, Inc.",4142195,Diversified REIT,Public Company,Operating,USA,5.44,"414,422","504,397",NA,GTJ REIT Inc.
H&R Real Estate Investment Trust (TSX:HR.UN),4105060,Diversified REIT,Public Company,Operating,Canada,0.87,"4,140,869","10,501,141","2,900.8",H&R REIT
Hamborner REIT AG (XTRA:HABA),4279273,Retail REIT,Public Company,Operating,Germany,1.52,"755,734","1,285,787",562.1,Hamborner REIT AG
Hammerson Plc (LSE:HMSO),4143575,Retail REIT,Public Company,Operating,United Kingdom,0.68,"1,875,200","4,913,900",811.2,Hammerson Plc
"Hankyu Hanshin REIT, Inc. (TSE:8977)",4214339,Diversified REIT,Public Company,Operating,Japan,0.87,"75,759","171,559",100.0,Hankyu Hanshin REIT Inc
"Hartman Short Term Income Properties XX, Inc.",4220196,Diversified REIT,Public Company,Operating,USA,1.93,"303,777","505,322",NA,Hartman Short Term Income Prop
"HC Government Realty Trust, Inc.",5874619,Office REIT,Public Company,Operating,USA,8.93,"111,595","129,463",NA,"HC Government Realty Trust,"
Healthcare & Medical Investment Corporation (TSE:3455),4750309,Healthcare REIT,Public Company,Operating,Japan,1.01,"33,150","68,778",66.0,Healthcare & Medical Invt Corp
Healthcare Realty Trust Incorporated (NYSE:HR),103057,Healthcare REIT,Public Company,Operating,USA,0.88,"1,920,014","4,258,919","7,200.0",Healthcare Realty Trust Inc.
"Healthcare Trust, Inc. (OTCPK:HLTC)",4341499,Healthcare REIT,Public Company,Operating,USA,1.06,"1,099,258","2,214,400",693.1,Healthcare Trust Inc.
HealthCo Healthcare and Wellness REIT (ASX:HCW),29562790,Healthcare REIT,Public Company,Operating,Australia,0.03,"22,294","693,597",459.1,HealthCo Hlthcr & Wellness REI
"Healthpeak Properties, Inc. (NYSE:PEAK)",102953,Healthcare REIT,Public Company,Operating,USA,0.90,"6,374,562","15,257,519","12,108.2",Healthpeak Properties
HEDGE Brasil Shopping Fundo de Investimento Imobiliário (BOVESPA:HGBS11),4864207,Retail REIT,Public Company,Operating,Brazil,NA,0,"2,235,515","2,094.9",HEDGE Brasil Shopping Fundo de
HEDGE TOP FOFII 2 Fundo de Investimento Imobiliário - FII,4863217,Diversified REIT,Public Company,Operating,Brazil,NA,0,"138,216",NA,HEDGE TOP FOFII 2 Fundo de Inv
"Heiwa Real Estate REIT, Inc. (TSE:8966)",4408233,Diversified REIT,Public Company,Operating,Japan,0.92,"96,757","209,795",159.3,Heiwa Real Estate REIT
Hektar Real Estate Investment Trust (KLSE:HEKTAR),4864029,Retail REIT,Public Company,Operating,Malaysia,1.06,"581,091","1,230,708",266.3,Hektar REIT
Hemaraj Industrial Property and Leasehold Fund (SET:HPF),5735199,Industrial REIT,Public Company,Operating,Thailand,NA,0,"4,458,682","2,209.0",Hemaraj Indl Ppty & Leasehold
Hersha Hospitality Trust (NYSE:HT),4019891,Hotel REIT,Public Company,Operating,USA,1.93,"1,171,564","1,833,144",325.9,Hersha Hospitality Trust
Highcroft Investments Plc (LSE:HCFT),4217758,Diversified REIT,Public Company,Operating,United Kingdom,0.41,"27,200","96,156",51.2,Highcroft Investments Plc
"Highlands REIT, Inc. (OTCEM:HHDS)",4649381,Diversified REIT,Public Company,Operating,USA,0.25,"62,412","321,013",132.8,Highlands REIT Inc.
"Highwoods Properties, Inc. (NYSE:HIW)",103169,Office REIT,Public Company,Operating,USA,1.13,"2,822,734","5,695,138","2,733.8",Highwoods Properties Inc.
"Hines Global Income Trust, Inc.",4410107,Diversified REIT,Public Company,Operating,USA,1.02,"1,263,692","2,704,921",NA,Hines Global Income Trust Inc.
Hispanotels Inversiones Socimi S.A. (BME:YHSP),13313345,Diversified REIT,Public Company,Operating,Spain,0.24,"11,913","72,027",65.7,Hispanotels Inversiones Socimi
Home Consortium Limited (ASX:HMC),4918238,Retail REIT,Public Company,Operating,Australia,0.01,"4,345","912,950","1,257.2",Home Consortium Ltd.
Home Invest Belgium S.A. (ENXTBR:HOMI),4863993,Residential REIT,Public Company,Operating,Belgium,1.12,"384,482","737,012",404.3,Home Invest Belgium S.A.
Home Reit Plc (LSE:HOME),25464180,Residential REIT,Public Company,Operating,United Kingdom,0.47,"117,528","371,356",675.1,Home Reit Plc
HomeCo Daily Needs REIT (ASX:HDN),26181699,Retail REIT,Public Company,Operating,Australia,0.51,"1,601,500","4,856,200","2,452.1",HomeCo Daily Needs REIT
"Hoshino Resorts REIT, Inc. (TSE:3287)",4545183,Hotel REIT,Public Company,Operating,Japan,0.57,"68,424","192,603",171.5,"Hoshino Resorts REIT, Inc."
"Host Hotels & Resorts, Inc. (NASDAQGS:HST)",4041118,Hotel REIT,Public Company,Operating,USA,0.85,"5,455,000","12,352,000","12,753.7",Host Hotels & Resorts
Hotel Property Investments (ASX:HPI),4420595,Specialty REIT,Public Company,Operating,Australia,0.57,"464,729","1,305,341",572.4,Hotel Property Investments
Hotland Yantian Port Warehouse Logistics (SZSE:180301),29248120,Industrial REIT,Public Company,Operating,China,NA,0,"1,011,892",NA,Hotland Yantian Port Warehouse
"Hudson Pacific Properties, Inc. (NYSE:HPP)",4251328,Office REIT,Public Company,Operating,USA,1.01,"4,221,847","8,990,189","1,457.1",Hudson Pacific Properties Inc.
Hui Xian Real Estate Investment Trust (SEHK:87001),4286545,Diversified REIT,Public Company,Operating,Hong Kong,0.34,"8,471,000","41,086,000","4,922.0",Hui Xian REIT
"Hulic Reit, Inc. (TSE:3295)",4545486,Diversified REIT,Public Company,Operating,Japan,0.88,"176,416","396,984",231.8,Hulic Reit Inc.
Hyprop Investments Limited (JSE:HYP),4259862,Retail REIT,Public Company,Operating,South Africa,0.70,"14,488,023","37,276,317","12,683.0",Hyprop Investments Ltd.
"Ibi Lion Socimi, S.A. (BME:YIBI)",101525155,Diversified REIT,Public Company,Operating,Spain,NA,NA,NA,32.0,Ibi Lion Socimi S.A.
Icade (ENXTPA:ICAD),4143715,Diversified REIT,Public Company,Operating,France,0.89,"7,681,600","17,608,900","2,728.0",Icade
Ichigo Hotel REIT Investment Corporation (TSE:3463),4750313,Hotel REIT,Public Company,Operating,Japan,0.82,"26,340","59,394",25.4,Ichigo Hotel REIT Investment
Ichigo Office REIT Investment Corporation (TSE:8975),4215882,Office REIT,Public Company,Operating,Japan,1.08,"111,225","228,021",122.6,Ichigo Office REIT Inv. Corp.
Idealist Gayrimenkul Yatirim Ortakligi A.S. (IBSE:IDGYO),4864267,Residential REIT,Public Company,Operating,Türkiye,0.07,"4,333","89,286",141.0,Idealist Gayrimenkul Yatirim O
IGB Commercial Real Estate Investment Trust (KLSE:IGBCR),29204248,Diversified REIT,Public Company,Operating,Malaysia,0.37,"851,431","3,275,204","1,268.8",IGB Commercial REIT
IGB Real Estate Investment Trust (KLSE:IGBREIT),4335476,Retail REIT,Public Company,Operating,Malaysia,0.32,"1,214,705","5,233,071","5,661.4",IGB REIT
"IGIS RESIDENCE REIT Co., Ltd. (KOSE:A350520)",19906689,Residential REIT,Public Company,Operating,South Korea,0.63,"113,568","294,489",103.5,IGIS RESIDENCE REIT
"IGIS Value Plus REIT Co., Ltd. (KOSE:A334890)",18048345,Office REIT,Public Company,Operating,South Korea,0.25,"52,758","269,066",149.6,IGIS Value Plus REIT
ILAM Fahari I-REIT (NASE:FAHR),5737711,Diversified REIT,Public Company,Operating,Kenya,NA,0,"3,712,526","1,096.7",ILAM Fahari I-REIT
Immobiliare Grande Distribuzione SIIQ S.p.A. (BIT:IGD),4143804,Retail REIT,Public Company,Operating,Italy,0.98,"1,145,279","2,405,607",300.1,IGD SiiQ SpA
Immobiliere Dassault SA (ENXTPA:IMDA),4862365,Diversified REIT,Public Company,Operating,France,0.42,"249,660","859,482",391.7,Immobiliere Dassault SA
Immolease Trust NV (ENXTBR:DIEG),4863761,Diversified REIT,Public Company,Operating,Belgium,NA,NA,NA,10.7,Immolease Trust NV
IMPACT Growth Real Estate Investment Trust (SET:IMPACT),4552150,Specialty REIT,Public Company,Operating,Thailand,0.24,"3,870,974","20,371,854","18,086.5",Impact Growth REIT
Impact Healthcare REIT PLC (LSE:IHR),4897609,Healthcare REIT,Public Company,Operating,United Kingdom,0.28,"110,907","514,495",393.8,Impact Healthcare REIT PLC
"Inbest Prime VI Inmuebles, S.A. (BME:YINB6)",27808602,Diversified REIT,Public Company,Operating,Spain,NA,0,"41,019",42.2,Inbest Prime VI Inmuebles S.A.
"Independence Realty Trust, Inc. (NYSE:IRT)",4235858,Residential REIT,Public Company,Operating,USA,0.74,"2,708,591","6,506,696","3,491.5",Independence Realty Trust Inc
"INDUS Realty Trust, Inc. (NASDAQGM:INDT)",4861698,Industrial REIT,Public Company,Operating,USA,0.44,"170,444","590,646",505.2,INDUS Realty Trust
Industrial & Infrastructure Fund Investment Corporation (TSE:3249),4260327,Industrial REIT,Public Company,Operating,Japan,1.07,"202,783","417,430",311.1,Industrial & Infrastructure
Industrial Logistics Properties Trust (NASDAQGS:ILPT),9219457,Industrial REIT,Public Company,Operating,USA,0.80,"828,124","1,908,558",334.3,Industrial Logistics Ppts
Industrials REIT Limited (JSE:MLI),4686021,Diversified REIT,Public Company,Operating,United Kingdom,0.34,"177,858","722,034","7,466.0",Industrials REIT Ltd.
"Infraestructura Viable, S.A. de C.V. (BMV:FVIA 16)",4977646,Industrial REIT,Public Company,Operating,Mexico,0.19,"6,340,576","40,221,498","31,402.2",Infraestructura Viable S.A. de
Ingenia Communities Group (ASX:INA),4149718,Residential REIT,Public Company,Operating,Australia,0.32,"495,912","2,183,041","1,516.2",Ingenia Communities Group
"Inland Real Estate Income Trust, Inc. (OTCPK:INRE)",4303071,Retail REIT,Public Company,Operating,USA,1.42,"619,938","1,126,707",0.1,Inland Real Estate Income Tr.
"Inmobiliaria Colonial, SOCIMI, S.A. (BME:COL)",4143766,Office REIT,Public Company,Operating,Spain,0.68,"4,915,286","12,727,524","2,579.5","Inmobiliaria Colonial, SOCIMI"
"Innovative Industrial Properties, Inc. (NYSE:IIPR)",4835257,Industrial REIT,Public Company,Operating,USA,0.20,"327,259","2,084,602","2,645.4",Innovative Indl Ppts Inc.
InnSuites Hospitality Trust (NYSEAM:IHT),103014,Hotel REIT,Public Company,Operating,USA,2.34,"9,669","14,702",17.7,InnSuites Hospitality Trust
Inovalis Real Estate Investment Trust (TSX:INO.UN),4379425,Office REIT,Public Company,Operating,Canada,0.62,"216,132","587,245",143.0,Inovalis REIT
Intercapital Property Development ADSIC (BUL:ICPD),4863976,Diversified REIT,Public Company,Operating,Bulgaria,0.60,"11,797","46,019",27.2,Intercapital Ppty Dev ADSIC
Intercontinental International Real Estate Investment Company (ATSE:INTERCO),4864527,Retail REIT,Public Company,Operating,Greece,0.51,"39,868","118,819",67.6,Intercontinental Intl RE Invt
InterRent Real Estate Investment Trust (TSX:IIP.UN),4202785,Residential REIT,Public Company,Operating,Canada,0.65,"1,572,660","4,118,699","1,589.7",InterRent REIT
Intervest Offices & Warehouses (ENXTBR:INTO),4143657,Industrial REIT,Public Company,Operating,Belgium,0.83,"529,708","1,236,957",570.1,Intervest Offices & Warehouses
InvenTrust Properties Corp. (NYSE:IVT),4098709,Retail REIT,Public Company,Operating,USA,0.34,"536,554","2,212,415","1,547.5",InvenTrust Properties Corp.
"Inversa Prime SOCIMI, S.A. (BME:YIPS)",13420492,Residential REIT,Public Company,Operating,Spain,0.15,"16,812","133,231",100.0,Inversa Prime SOCIMI S.A.
"Inversiones Doalca SOCIMI, S.A. (BME:YDOA)",4863140,Office REIT,Public Company,Operating,Spain,0.61,"12,259","35,854",154.2,Inversiones Doalca SOCIMI S.A.
Investec Property Fund Limited (JSE:IPF),4502225,Diversified REIT,Public Company,Operating,South Africa,0.70,"9,594,713","24,039,498","8,169.9",Investec Property Fund Limited
Investore Property Limited (NZSE:IPL),4730982,Retail REIT,Public Company,Operating,New Zealand,0.43,"369,964","1,238,736",540.2,Investore Property Ltd
Invincible Investment Corporation (TSE:8963),4216772,Hotel REIT,Public Company,Operating,Japan,0.98,"241,372","490,119",276.8,Invincible Investment Corp.
Invitation Homes Inc. (NYSE:INVH),4426247,Residential REIT,Public Company,Operating,USA,0.81,"8,017,699","18,537,846","20,202.9",Invitation Homes Inc.
IREIT Global (SGX:UD1U),4549088,Office REIT,Public Company,Operating,Singapore,0.53,"328,922","1,035,499",560.6,IREIT Global
Irish Residential Properties REIT Plc (ISE:IRES),4440102,Residential REIT,Public Company,Operating,Ireland,0.70,"619,452","1,528,063",613.3,Irish Residential Ppts REIT
Iron Mountain Incorporated (NYSE:IRM),4094831,Specialty REIT,Public Company,Operating,USA,13.65,"11,703,010","14,450,031","13,682.5",Iron Mountain Inc.
İş Gayrimenkul Yatırım Ortaklığı A.Ş. (IBSE:ISGYO),4233948,Diversified REIT,Public Company,Operating,Türkiye,0.19,"1,043,235","6,676,321","6,989.3",İş GYO A.Ş.
iStar Inc. (NYSE:STAR),102921,Diversified REIT,Public Company,Operating,USA,3.26,"3,470,995","4,840,534",790.3,iStar Inc.
"Jaba I Inversiones Inmobiliarias, Socimi, S.A. (BME:YABA)",4863355,Office REIT,Public Company,Operating,Spain,0.17,"6,120","42,510",35.5,Jaba I Inversiones Inmobiliari
Jadwa REIT Al Haramain Fund (SASE:4332),5739106,Diversified REIT,Public Company,Operating,Saudi Arabia,0.42,"232,011","789,358",481.1,Jadwa REIT Al Haramain Fund
"Japan Excellent, Inc. (TSE:8987)",4212691,Office REIT,Public Company,Operating,Japan,0.83,"125,600","291,431",174.7,Japan Excellent Inc.
Japan Hotel REIT Investment Corporation (TSE:8985),4216837,Hotel REIT,Public Company,Operating,Japan,0.74,"164,754","394,324",330.1,Japan Hotel REIT Investment
"Japan Logistics Fund, Inc. (TSE:8967)",4214952,Industrial REIT,Public Company,Operating,Japan,0.85,"114,700","260,342",283.0,Japan Logistics Fund Inc.
Japan Metropolitan Fund Investment Corporation (TSE:8953),4143337,Retail REIT,Public Company,Operating,Japan,0.88,"549,675","1,247,439",718.0,Japan Met Fund Invt Corp.
Japan Prime Realty Investment Corporation (TSE:8955),4143330,Office REIT,Public Company,Operating,Japan,0.74,"202,900","507,006",372.4,Japan Prime Realty Invt. Corp.
Japan Real Estate Investment Corporation (TSE:8952),4143333,Office REIT,Public Company,Operating,Japan,0.87,"449,893","1,035,073",799.3,Japan Real Estate Invt. Corp.
JBG SMITH Properties (NYSE:JBGS),4899055,Office REIT,Public Company,Operating,USA,0.90,"2,645,783","6,386,206","2,182.6",JBG SMITH Properties
JHSF Rio Bravo Fazenda Boa Vista Capital Protegido Fundo de Investimento Imobili (BOVESPA:RBBV11),4865254,Residential REIT,Public Company,Operating,Brazil,NA,NA,NA,125.4,JHSF Rio Bravo Fazenda Boa Vis
"Jones Lang LaSalle Income Property Trust, Inc.",4132010,Diversified REIT,Public Company,Operating,USA,1.23,"2,265,983","4,402,246",NA,JLL Income Property Trust Inc.
Jordan Decapolis Properties (ASE:JDPC),4863783,Diversified REIT,Public Company,Operating,Jordan,0.00,59,"82,495",16.8,Jordan Decapolis Properties
JPP Capital Fundo Invest Imobiliario FII (BOVESPA:JPPC11),4863218,Diversified REIT,Public Company,Operating,Brazil,NA,NA,NA,11.0,JPP Cap Fundo Invest Imobiliar
JR Global REIT (KOSE:A348950),7171009,Office REIT,Public Company,Operating,South Korea,NA,NA,NA,774.7,JR Global REIT
"KBS Real Estate Investment Trust III, Inc. (OTCPK:KBSR)",4250328,Office REIT,Public Company,Operating,USA,2.36,"1,465,398","2,254,201",992.6,KBS REIT III Inc.
KCR Residential REIT plc (AIM:KCR),4864489,Residential REIT,Public Company,Operating,United Kingdom,0.97,"13,275","27,365",5.8,KCR Residential REIT plc
Kenedix Office Investment Corporation (TSE:8972),4143341,Office REIT,Public Company,Operating,Japan,0.89,"205,150","464,802",276.2,Kenedix Office Invt. Corp.
Kenedix Residential Next Investment Corporation (TSE:3278),4320931,Residential REIT,Public Company,Operating,Japan,1.15,"155,820","302,410",215.1,Kenedix Residential Next Invt.
Kenedix Retail REIT Corporation (TSE:3453),4658824,Retail REIT,Public Company,Operating,Japan,0.90,"123,300","275,833",151.3,Kenedix Retail REIT
Keppel DC REIT (SGX:AJBU),4571923,Specialty REIT,Public Company,Operating,Singapore,0.56,"1,299,270","3,780,150","2,749.1",Keppel DC REIT
Keppel Pacific Oak US REIT (SGX:CMOU),9037515,Office REIT,Public Company,Operating,Singapore,0.66,"562,104","1,513,568",511.8,Keppel Pacific Oak US REIT
Keppel REIT (SGX:K71U),4188460,Office REIT,Public Company,Operating,Singapore,0.49,"2,726,807","8,487,684","3,321.2",Keppel REIT
Kiler Gayrimenkul Yatirim Ortakligi A.S. (IBSE:KLGYO),4864315,Diversified REIT,Public Company,Operating,Türkiye,0.01,NA,"2,989,448","3,041.1",Kiler Gayrimenkul Yatirim Orta
Killam Apartment REIT (TSX:KMP.UN),4143687,Residential REIT,Public Company,Operating,Canada,1.02,"2,158,725","4,578,507","1,764.5",Killam Apartment REIT
Kilroy Realty Corporation (NYSE:KRC),108109,Office REIT,Public Company,Operating,USA,0.74,"4,194,300","10,583,397","4,794.0",Kilroy Realty Corp.
Kimco Realty Corporation (NYSE:KIM),102965,Retail REIT,Public Company,Operating,USA,0.75,"7,622,221","18,459,199","12,177.9",Kimco Realty Corp.
King's Town Millerful No.1 Real Estate Investment Trust (TWSE:01010T),13445252,Diversified REIT,Public Company,Operating,Taiwan,0.31,"5,286,036","22,551,946","16,614.9",King's Town Millerful No.1 REI
Kingston Properties Limited (JMSE:KPREIT),4864167,Diversified REIT,Public Company,Operating,Jamaica,0.53,"17,244","50,470","4,635.1",Kingston Properties Ltd.
KIP Real Estate Investment Trust (KLSE:KIPREIT),4884571,Retail REIT,Public Company,Operating,Malaysia,0.56,"312,913","889,035",518.2,KIP REIT
Kite Realty Group Trust (NYSE:KRG),4092324,Retail REIT,Public Company,Operating,USA,0.82,"3,221,045","7,639,575","3,948.4",Kite Realty Group Trust
Kiwi Property Group Limited (NZSE:KPG),4143560,Retail REIT,Public Company,Operating,New Zealand,0.50,"1,140,907","3,594,489","1,343.4",Kiwi Property Group Ltd
Kizilbük Gayrimenkul Yatirim Ortakligi A.S. (IBSE:KZBGY),29225839,Hotel REIT,Public Company,Operating,Türkiye,NA,NA,NA,"5,859.0",Kizilbük Gayrimenkul Yatirim O
KLCC Property Holdings Berhad (KLSE:KLCC),4384522,Diversified REIT,Public Company,Operating,Malaysia,0.16,"2,375,912","17,937,104","11,951.3",KLCC Property Holdings Berhad
Klépierre (ENXTPA:LI),4143722,Retail REIT,Public Company,Operating,France,0.84,"8,928,900","21,782,900","5,211.3",Klépierre
Koramco Energy Plus Reit (KOSE:A357120),19851184,Specialty REIT,Public Company,Operating,South Korea,NA,NA,NA,386.9,Koramco Energy Plus Reit
Koramco The One Reit (KOSE:A417310),105658542,Office REIT,Public Company,Operating,South Korea,NA,NA,NA,165.6,Koramco The One Reit
Koray Gayrimenkul Yatirim Ortakligi A.S. (IBSE:KGYO),4861814,Diversified REIT,Public Company,Operating,Türkiye,0.02,"2,490","122,991",772.0,Koray Gayrimenkul Yatirim Orta
"Korea Asset In Trust Co., Ltd. (KOSE:A123890)",4864161,Diversified REIT,Public Company,Operating,South Korea,0.36,"306,170","1,264,658",357.9,Korea Asset In Trust
KPN Property Fund (SET:KPNPF),4864404,Office REIT,Public Company,Operating,Thailand,NA,0,"1,800,133",900.0,KPN Property Fund
"Ktesios Real Estate Socimi, S.A. (ENXTLS:MLKTS)",27669778,Residential REIT,Public Company,Operating,Spain,NA,NA,NA,12.3,Ktesios Re Socimi S.A.
"K-TOP Reits Co.,Ltd. (KOSE:A145270)",4864351,Diversified REIT,Public Company,Operating,South Korea,1.38,"120,700","248,885",41.8,K-TOP Reits Co.
"Lafinca Global Assets SOCIMI, S.A. (BME:YLFG)",16277488,Office REIT,Public Company,Operating,Spain,2.95,"383,264","620,300",178.3,Lafinca Glbl Assets SOCIMI S.A
Lamar Advertising Company (NASDAQGS:LAMR),4417220,Specialty REIT,Public Company,Operating,USA,3.47,"4,225,845","6,047,494","8,997.0",Lamar Advertising Co.
Land and Houses Freehold and Leasehold Property Fund (SET:LHPF),4864358,Residential REIT,Public Company,Operating,Thailand,0.03,"115,616","3,739,198","1,963.5",Land & Houses Freehold & Lease
Land Securities Group Plc (LSE:LAND),4143637,Diversified REIT,Public Company,Operating,United Kingdom,0.57,"4,554,000","12,895,000","3,891.4",Land Securities Group Plc
Lanesborough Real Estate Investment Trust (TSXV:LRT.UN),4167218,Residential REIT,Public Company,Operating,Canada,NM,"284,316","128,858",3.4,Lanesborough REIT
"Lar España Real Estate SOCIMI, S.A. (BME:LRE)",4548002,Diversified REIT,Public Company,Operating,Spain,1.04,"893,455","1,797,682",323.9,Lar España Real Estate SOCIMI
LaSalle LOGIPORT REIT (TSE:3466),4750320,Industrial REIT,Public Company,Operating,Japan,0.75,"160,620","384,156",266.7,LaSalle LOGIPORT REIT
Lateres Fundo de Investimento Imobiliário (BOVESPA:LATR11B),4864403,Diversified REIT,Public Company,Operating,Brazil,NA,NA,NA,2.0,Lateres Fundo de Investimento
Lendlease Global Commercial REIT (SGX:JYEU),19231662,Retail REIT,Public Company,Operating,Singapore,0.67,"1,452,005","3,701,964","1,502.9",Lendlease Glbl Comm REIT
LH Hotel Leasehold Real Estate Investment Trust (SET:LHHOTEL),4864511,Hotel REIT,Public Company,Operating,Thailand,1.01,"5,787,877","11,672,406","5,917.1",LH Hotel Leasehold REIT
LH Shopping Centers Leasehold Real Estate Investment Trust (SET:LHSC),4864481,Retail REIT,Public Company,Operating,Thailand,0.15,"833,787","6,904,933","5,222.3",LH Shopping Centers Leasehold
Life Science REIT plc (AIM:LABS),29616751,Healthcare REIT,Public Company,Operating,United Kingdom,NA,0,"361,400",259.0,Life Science REIT plc
"Life Storage, Inc. (NYSE:LSI)",103540,Self-Storage REIT,Public Company,Operating,USA,0.83,"2,804,068","6,556,597","8,614.0",Life Storage Inc.
"Lightstone Value Plus REIT III, Inc. (OTCEM:LVVR)",4535407,Hotel REIT,Public Company,Operating,USA,0.78,"62,560","145,897",45.4,Lightstone Value Plus REIT III
"Lightstone Value Plus REIT V, Inc. (PSGM:LVVP)",4165566,Diversified REIT,Public Company,Operating,USA,1.90,"277,598","431,499",166.0,Lightstone Value Plus REIT V
Link Real Estate Investment Trust (SEHK:823),4143456,Retail REIT,Public Company,Operating,Hong Kong,0.33,"53,607,000","225,716,000","100,738.4",Link REIT
Lippo Malls Indonesia Retail Trust (SGX:D5IU),4221916,Retail REIT,Public Company,Operating,Singapore,0.86,"846,156","2,028,837",230.9,Lippo Malls Indonesia Retail
LondonMetric Property Plc (LSE:LMP),4226240,Diversified REIT,Public Company,Operating,United Kingdom,0.40,"1,026,000","3,655,200","1,663.0",LondonMetric Property Plc
"LOTTE REIT Co., Ltd. (KOSE:A330590)",14832257,Retail REIT,Public Company,Operating,South Korea,NA,NA,NA,900.2,LOTTE REIT
Lotus's Retail Growth Freehold and Leasehold Property Fund (SET:LPF),4864352,Retail REIT,Public Company,Operating,Thailand,0.11,"3,229,410","33,294,290","31,085.9",Lotus's Retail Growth Freehold
"LTC Properties, Inc. (NYSE:LTC)",102970,Healthcare REIT,Public Company,Operating,USA,0.97,"722,719","1,504,825","1,541.6",LTC Properties Inc.
Luxury Real Estate Investment Fund (SET:LUXF),4864148,Hotel REIT,Public Company,Operating,Thailand,NA,0,"2,018,349","1,503.2",Luxury RE Invt Fund
LXI REIT plc (LSE:LXI),4901958,Diversified REIT,Public Company,Operating,United Kingdom,0.19,"252,800","1,592,900","1,988.8",LXI REIT plc
LXP Industrial Trust (NYSE:LXP),103128,Industrial REIT,Public Company,Operating,USA,0.66,"1,526,158","4,005,558","2,572.2",LXP Industrial Trust
Macau Property Opportunities Fund Limited (LSE:MPO),4218601,Diversified REIT,Public Company,Operating,United Kingdom,1.68,"130,155","220,035",31.3,Macau Prop. Opportunities Fund
Mais Shopping Largo 13 Fundo de Investimento Imobiliario - FII,5731595,Retail REIT,Public Company,Operating,Brazil,NA,NA,NA,NA,Mais Shopping Largo 13 Fundo d
Major Cineplex Lifestyle Leasehold Property Fund. (SET:MJLF),4864076,Retail REIT,Public Company,Operating,Thailand,0.01,"55,622","4,253,826","2,227.5",Major Cineplex Lifestyle Lease
Manulife US Real Estate Investment Trust (SGX:BTOU),4691527,Office REIT,Public Company,Operating,Singapore,0.82,"972,118","2,275,628",586.3,Manulife US REIT
