SP_ENTITY_NAME,SP_ENTITY_ID,MI_INDUSTRY_CLASSIFICATION,SP_COMPANY_TYPE,SP_COMPANY_STATUS,SP_COUNTRY_NAME,SP_DEBT_TO_EQUITY,SP_TOTAL_DEBT,SP_TOTAL_ASSETS,SP_MARKETCAP,SP_COMPANY_NAME_ABBR
AmanahRaya Real Estate Investment Trust (KLSE:ARREIT),4864025,Diversified REIT,Public Company,Operating,Malaysia,0.86,"643,846","1,430,844",332.5,AmanahRaya REIT
Amata Summit Growth Freehold and Leasehold Real Estate Investment Trust (SET:AMATAR),4864491,Industrial REIT,Public Company,Operating,Thailand,0.34,"1,200,000","4,888,637","2,362.1",Amata Summit Growth Freehold &
"American Assets Trust, Inc. (NYSE:AAT)",4270741,Diversified REIT,Public Company,Operating,USA,1.39,"1,677,120","3,017,927","1,588.9",American Assets Trust Inc.
American Homes 4 Rent (NYSE:AMH),4392539,Residential REIT,Public Company,Operating,USA,0.58,"3,899,201","10,962,433","11,147.8",American Homes 4 Rent
American Hotel Income Properties REIT LP (TSX:HOT.UN),4355829,Hotel REIT,Public Company,Operating,Canada,1.97,"738,976","1,150,490",227.7,American Hotel Income Ppts
American Tower Corporation (NYSE:AMT),4290489,Specialty REIT,Public Company,Operating,USA,5.73,"52,008,600","69,887,900","87,325.5",American Tower Corp.
AmFirst Real Estate Investment Trust (KLSE:AMFIRST),4864037,Office REIT,Public Company,Operating,Malaysia,1.01,"815,403","1,661,275",243.7,AmFirst REIT
"Ap67 Socimi, S.A. (BME:YAP67)",9998670,Diversified REIT,Public Company,Operating,Spain,1.70,"30,432","51,442",33.8,Ap67 Socimi S.A.
Apartment Income REIT Corp. (NYSE:AIRC),103180,Residential REIT,Public Company,Operating,USA,1.96,"3,797,314","6,440,360","5,714.2",Apartment Income REIT
Apartment Investment and Management Company (NYSE:AIV),25685256,Residential REIT,Public Company,Operating,USA,2.90,"1,628,590","2,434,101","1,158.7",Aimco
Aquilla Fundo Invest Imobiliario - Cotas Fund (BOVESPA:AQLL11),5733377,Diversified REIT,Public Company,Operating,Brazil,NA,NA,NA,37.7,Aquilla Fundo Invest Imobiliar
ARA US Hospitality Trust (SGX:XZL),14949014,Hotel REIT,Public Company,Operating,Singapore,0.85,"338,135","764,076",198.5,ARA US Hospitality Trust
Arcona Property Fund N.V. (ENXTAM:ARCPF),4260848,Diversified REIT,Public Company,Operating,Netherlands,0.79,"36,796","90,566",23.8,Arcona Property Fund
aReit Prop Limited (JSE:APO),101499536,Hotel REIT,Public Company,Operating,South Africa,NA,0,"913,918,100",630.0,aReit Prop Ltd.
"AREIT, Inc. (PSE:AREIT)",21852006,Office REIT,Public Company,Operating,Philippines,0.10,"5,060,033","56,503,527","46,700.8",AREIT Inc.
Arena REIT (ASX:ARF),4394001,Healthcare REIT,Public Company,Operating,Australia,0.28,"323,213","1,518,566","1,201.6",Arena REIT
Ares Industrial Real Estate Income Trust Inc.,4570715,Industrial REIT,Public Company,Operating,USA,1.25,"2,729,637","5,249,109",NA,Ares Industrial Real Estate In
Ares Real Estate Income Trust Inc.,4101821,Diversified REIT,Public Company,Operating,USA,2.61,"2,028,749","2,990,971",NA,Ares Real Estate Income Trust
Argan SA (ENXTPA:ARG),4279274,Industrial REIT,Public Company,Operating,France,1.03,"2,222,593","4,500,601","1,617.2",Argan SA
Argosy Property Limited (NZSE:ARG),4862274,Diversified REIT,Public Company,Operating,New Zealand,0.53,"778,927","2,291,546",973.7,Argosy Property Ltd.
"Árima Real Estate SOCIMI, S.A. (BME:ARM)",11137169,Office REIT,Public Company,Operating,Spain,0.32,"104,588","440,362",202.5,Árima Real Estate SOCIMI S.A.
"Armada Hoffler Properties, Inc. (NYSE:AHH)",4379352,Diversified REIT,Public Company,Operating,USA,1.33,"1,036,718","1,938,063",755.2,Armada Hoffler Properties Inc.
Armstrong Jones Office Fund,6618308,Office REIT,Public Company,Operating,Australia,0.46,"157,000","505,724",NA,Armstrong Jones Office Fund
"ARRIENDA Rental Properties SOCIMI, S.A. (BME:YARP)",10971979,Diversified REIT,Public Company,Operating,Spain,0.28,"6,661","31,651",58.8,ARRIENDA Rental Ppts SOCIMI S.
Artis Real Estate Investment Trust (TSX:AX.UN),4143679,Diversified REIT,Public Company,Operating,Canada,0.80,"1,965,638","4,576,024","1,090.7",Artis REIT
Ascencio SCA (ENXTBR:ASC),4279772,Retail REIT,Public Company,Operating,Belgium,0.92,"341,544","728,076",341.7,Ascencio SCA
Ascott Residence Trust (SGX:HMN),4188459,Hotel REIT,Public Company,Operating,Singapore,0.69,"3,009,625","7,733,246","3,011.7",Ascott Residence Trust
"Ashford Hospitality Trust, Inc. (NYSE:AHT)",4088185,Hotel REIT,Public Company,Operating,USA,NM,"3,905,022","4,098,143",268.4,Ashford Hospitality Trust
Aspen Group (ASX:APZ),4260851,Diversified REIT,Public Company,Operating,Australia,0.46,"128,607","452,458",276.2,Aspen Group
Asset Plus Limited (NZSE:APL),4861815,Diversified REIT,Public Company,Operating,New Zealand,0.35,"55,700","224,693",87.1,Asset Plus Ltd.
Assura Plc (LSE:AGR),4143591,Healthcare REIT,Public Company,Operating,United Kingdom,0.70,"1,249,900","3,120,500","1,481.1",Assura Plc
Ata Gayrimenkul Yatirim Ortakligi A.S. (IBSE:ATAGY),4772001,Retail REIT,Public Company,Operating,Türkiye,1.47,"74,316","127,537",120.9,Ata Gayrimenkul Yatirim Ortakl
Atakule Gayrimenkul Yatirim Ortakligi A.Ş. (IBSE:AGYO),4279277,Diversified REIT,Public Company,Operating,Türkiye,0.00,853,"614,539","1,888.1",Atakule Gayrimenkul Yatirim
Atland SAS (ENXTPA:ATLD),4861743,Diversified REIT,Public Company,Operating,France,1.77,"248,083","526,136",178.2,Atland SAS
"Atom Hoteles SOCIMI, S.A. (BME:YATO)",9859791,Hotel REIT,Public Company,Operating,Spain,1.03,"327,411","660,200",313.0,Atom Hoteles SOCIMI S.A.
Atrium Real Estate Investment Trust (KLSE:ATRIUM),4864056,Industrial REIT,Public Company,Operating,Malaysia,0.97,"255,046","540,543",341.3,Atrium REIT
Attacq Limited (JSE:ATT),4538104,Diversified REIT,Public Company,Operating,South Africa,0.69,"8,542,269","21,626,282","4,780.7",Attacq Limited
Australian Unity Office Fund (ASX:AOF),4713414,Office REIT,Public Company,Operating,Australia,0.46,"169,585","554,000",210.4,Australian Unity Office Fund
Automotive Properties Real Estate Investment Trust (TSX:APR.UN),4599975,Specialty REIT,Public Company,Operating,Canada,1.24,"569,087","1,051,650",499.0,Automotive Properties REIT
"AvalonBay Communities, Inc. (NYSE:AVB)",103145,Residential REIT,Public Company,Operating,USA,0.76,"8,270,044","19,902,016","24,426.2",AvalonBay Communities Inc.
Avrasya Gayrimenkul Yatirim Ortakligi Anonim Sirketi (IBSE:AVGYO),4771980,Diversified REIT,Public Company,Operating,Türkiye,NA,0,"365,029",366.0,Avrasya Gayrimenkul Yatirim Or
Axis Real Estate Investment Trust (KLSE:AXREIT),4535000,Diversified REIT,Public Company,Operating,Malaysia,0.47,"1,184,593","3,838,760","3,068.8",Axis Real Estate Investment Tr
"Azaria Rental SOCIMI, S.A. (BME:YAZR)",10967787,Diversified REIT,Public Company,Operating,Spain,1.49,"62,173","137,332",81.8,Azaria Rental SOCIMI S.A.
Ba Airport Leasehold Real Estate Investment Trust (SET:BAREIT),105949327,Specialty REIT,Public Company,Operating,Thailand,NA,NA,NA,"10,743.2",Ba Airport Leasehold REIT
Balanced Commercial Property Trust Ltd (LSE:BCPT),4237197,Diversified REIT,Public Company,Operating,United Kingdom,0.30,"308,641","1,347,184",580.2,Balanced Comm Ppty Trust Ltd
